0/12343: emocional -->  EMOCIONAL
276/12343: exceso -->  EXCESO
277/12343: universo -->  UNIVERSO
278/12343: bastante -->  BASTANTE
279/12343: solo -->  SOLO
280/12343: sigo -->  SEGUIR
281/12343: preocupada -->  PREOCUPADO
282/12343: tema -->  TEMA
283/12343: tensión -->  TENSIÓN
284/12343: termina -->  TERMINAR
285/12343: regularizarse -->  REGULARIZAR
286/12343: médico -->  MÉDICO
287/12343: asegura -->  ASEGURAR
288/12343: tipo -->  TIPO
289/12343: siempre -->  SIEMPRE
290/12343: baja -->  BAJA
291/12343: quiere -->  QUERER
292/12343: asegurarse -->  ASEGURAR
293/12343: mandarme -->  MANDAR
294/12343: alguna -->  ALGÚN
295/12343: pastilla -->  PASTILLA
296/12343: consulta -->  CONSULTA
297/12343: veremos -->  VER
298/12343: tal -->  TAL
299/12343: tomarán -->  TOMAR
300/12343: medidas -->  MEDIDA
301/12343: considere -->  CONSIDERAR
302/12343: oportunas -->  OPORTUNO
303/12343: demás -->  DEMÁS
304/12343: encuentro -->  ENCUENTRO
305/12343: razonablemente -->  RAZONABLEMENTE
306/12343: tarde -->  TARDE
307/12343: vaya -->  VAYA
308/12343: salga -->  SALIR
309/12343: pueda -->  PODER
310/12343: quedar -->  QUEDAR
311/12343: sigue -->  SEGUIR
312/12343: alta -->  ALTA
313/12343: doctor -->  DOCTOR
314/12343: casi -->  CASI
315/12343: seguro -->  SEGURO
316/12343: sólo -->  SÓLO
317/12343: dan -->  DAR
318/12343: temblores -->  TEMBLOR
319/12343: todas -->  TODO
320/12343: formas -->  FORMA
321/12343: hacerme -->  HACER
322/12343: pruebas -->  PRUEBA
323/12343: asegurarnos -->  ASEGURAR
324/12343: empezaré -->  EMPEZAR
325/12343: cardiólogo -->  CARDIÓLOGO
326/12343: verdad -->  VERDAD
327/12343: cualquier -->  CUALQUIER
328/12343: rutina -->  RUTINA
329/12343: habitual -->  HABITUAL
330/12343: produciendo -->  PRODUCIR
331/12343: superarlo -->  SUPERAR
332/12343: pronto -->  PRONTO
333/12343: familia -->  FAMILIA
334/12343: mandado -->  MANDADO
335/12343: pues -->  PUES
336/12343: según -->  SEGÚN
337/12343: parece -->  PARECER
338/12343: ser -->  SER
339/12343: informe -->  INFORME
340/12343: pone -->  PONER
341/12343: lábil -->  -
342/12343: hipertensión -->  HIPERTENSIÓN
343/12343: valore -->  VALORAR
344/12343: dice -->  DECIR
345/12343: especialista -->  ESPECIALISTA
346/12343: mientras -->  MIENTRAS
347/12343: solucioné -->  SOLUCIONAR
348/12343: quede -->  QUEDAR
349/12343: salud -->  SALUD
350/12343: cambios -->  CAMBIO
351/12343: importantes -->  IMPORTANTE
352/12343: anímico -->  ANÍMICO
353/12343: bajo -->  BAJO
354/12343: circunstancias -->  CIRCUNSTANCIA
355/12343: enfermedades -->  ENFERMEDAD
356/12343: graves -->  GRAVE
357/12343: distintos -->  DISTINTO
358/12343: miembros -->  MIEMBRO
359/12343: prácticamente -->  PRÁCTICAMENTE
360/12343: totalidad -->  TOTALIDAD
361/12343: visitando -->  VISITAR
362/12343: enfermos -->  ENFERMO
363/12343: aparte -->  APARTE
364/12343: sentimiento -->  SENTIMIENTO
365/12343: pena -->  PENA
366/12343: seres -->  SER
367/12343: humanos -->  HUMANO
368/12343: ayudar -->  AYUDAR
369/12343: sobrellevar -->  SOBRELLEVAR
370/12343: carga -->  CARGA
371/12343: suponía -->  SUPONER
372/12343: precisamente -->  PRECISAMENTE
373/12343: afectado -->  AFECTADO
374/12343: anímicamente -->  ANíMICAMENTE
375/12343: gran -->  GRANDE
376/12343: medida -->  MEDIDA
377/12343: creo -->  CREAR
378/12343: encontrándome -->  -
379/12343: fuerte -->  FUERTE
380/12343: aspecto -->  ASPECTO
381/12343: debe -->  DEBE
382/12343: mejor -->  MEJOR
383/12343: hoy -->  HOY
384/12343: novedades -->  NOVEDAD
385/12343: tranquilo -->  TRANQUILO
386/12343: aunque -->  AUNQUE
387/12343: preocupándome -->  -
388/12343: encuentre -->  ENCONTRAR
389/12343: peor -->  PEOR
390/12343: simplemente -->  SIMPLEMENTE
391/12343: ir -->  IR
392/12343: altera -->  ALTERAR
393/12343: temas -->  TEMA
394/12343: personales -->  PERSONAL
395/12343: arreglando -->  ARREGLAR
396/12343: positivamente -->  POSITIVAMENTE
397/12343: movido -->  MOVIDO
398/12343: mismo -->  MISMO
399/12343: tomado -->  TOMADO
400/12343: tranquilidad -->  TRANQUILIDAD
401/12343: aburrido -->  ABURRIDO
402/12343: exceptuando -->  EXCEPTUAR
403/12343: disgustada -->  DISGUSTAR
404/12343: pérdida -->  PÉRDIDA
405/12343: querida -->  QUERIDA
406/12343: mascota -->  MASCOTA
407/12343: robo -->  ROBO
408/12343: familiares -->  FAMILIAR
409/12343: grandes -->  GRANDE
410/12343: pensando -->  PENSAR
411/12343: visita -->  VISITA
412/12343: exactamente -->  EXACTAMENTE
413/12343: tomarme -->  TOMAR
414/12343: relacionado -->  RELACIONADO
415/12343: médicos -->  MÉDICO
416/12343: tan -->  TAN
417/12343: luego -->  LUEGO
418/12343: salgo -->  SALIR
419/12343: quita -->  QUITA
420/12343: temblor -->  TEMBLOR
421/12343: electro -->  -
422/12343: eco -->  ECO
423/12343: cardiograma -->  CARDIOGRAMA
424/12343: descartar -->  DESCARTAR
425/12343: anomalía -->  ANOMALÍA
426/12343: enfermo -->  ENFERMO
427/12343: complicaciones -->  COMPLICACIÓN
428/12343: actividad -->  ACTIVIDAD
429/12343: igual -->  IGUAL
430/12343: intentando -->  INTENTAR
431/12343: preocuparme -->  PREOCUPAR
432/12343: conseguirlo -->  CONSEGUIR
433/12343: pesar -->  PESAR
434/12343: pequeños -->  PEQUEÑO
435/12343: contratiempos -->  CONTRATIEMPO
436/12343: sido -->  SER
437/12343: buen -->  BUENO
438/12343: monótono -->  MONÓTONO
439/12343: entretenido -->  ENTRETENIDO
440/12343: sentirme -->  SENTIR
441/12343: bajado -->  BAJAR
442/12343: poquito -->  POQUITO
443/12343: positivas -->  POSITIVO
444/12343: encuentren -->  ENCONTRAR
445/12343: complicado -->  COMPLICADO
446/12343: buenas -->  BUENAS
447/12343: porqué -->  PORQUÉ
448/12343: regularizar -->  REGULARIZAR
449/12343: acompañando -->  ACOMPAÑAR
450/12343: hospital -->  HOSPITAL
451/12343: regular -->  REGULAR
452/12343: salvo -->  SALVO
453/12343: picor -->  PICOR
454/12343: garganta -->  GARGANTA
455/12343: pastillas -->  PASTILLA
456/12343: simple -->  SIMPLE
457/12343: frío -->  FRÍO
458/12343: bastantes -->  BASTANTE
459/12343: bajones -->  BAJÓN
460/12343: anímicos -->  ANÍMICO
461/12343: moral -->  MORAL
462/12343: noche -->  NOCHE
463/12343: dentista -->  DENTISTA
464/12343: interesen -->  INTERESAR
465/12343: últimamente -->  ÚLTIMAMENTE
466/12343: cuesta -->  CUESTA
467/12343: interesarme -->  INTERESAR
468/12343: relajado -->  RELAJADO
469/12343: excepto -->  EXCEPTO
470/12343: dolor -->  DOLOR
471/12343: huesos -->  HUESO
472/12343: nerviosismo -->  NERVIOSISMO
473/12343: alegre -->  ALEGRE
474/12343: molestias -->  MOLESTIA
475/12343: estómago -->  ESTÓMAGO
476/12343: ocurre -->  OCURRIR
477/12343: estresada -->  ESTRESAR
478/12343: estomago -->  ESTOMAGAR
479/12343: mañanas -->  MAÑANA
480/12343: cansado -->  CANSADO
481/12343: molestan -->  MOLESTAR
482/12343: siguen -->  SEGUIR
483/12343: siendo -->  SER
484/12343: ajetreo -->  AJETREO
485/12343: aburridos -->  ABURRIDO
486/12343: dolores -->  DOLOR
487/12343: molestia -->  MOLESTIA
488/12343: afecta -->  AFECTO
489/12343: vuelto -->  VOLVER
490/12343: subir -->  SUBIR
491/12343: regulariza -->  REGULARIZAR
492/12343: aparece -->  APARECER
493/12343: anormal -->  ANORMAL
494/12343: general -->  GENERAL
495/12343: resultado -->  RESULTADO
496/12343: favorables -->  FAVORABLE
497/12343: todavía -->  TODAVÍA
498/12343: perfecta -->  PERFECTO
499/12343: motivada -->  MOTIVAR
500/12343: nervios -->  NERVIO
501/12343: dentro -->  DENTRO
502/12343: normalidad -->  NORMALIDAD
503/12343: activo -->  ACTIVO
504/12343: mejorando -->  MEJORAR
505/12343: prescindir -->  PRESCINDIR
506/12343: orfidal -->  -
507/12343: dormir -->  DORMIR
508/12343: descanso -->  DESCANSO
509/12343: persistiré -->  PERSISTIR
510/12343: atontada -->  ATONTADO
511/12343: cansada -->  CANSADO
512/12343: mismos -->  MISMO
513/12343: hacen -->  HACER
514/12343: sabiendo -->  SABER
515/12343: capaces -->  -
516/12343: darme -->  DAR
517/12343: coherente -->  COHERENTE
518/12343: efectiva -->  EFECTIVO
519/12343: dejando -->  DEJAR
520/12343: joven -->  JOVEN
521/12343: sufra -->  SUFRIR
522/12343: vivir -->  VIVIR
523/12343: ninguna -->  NINGÚN
524/12343: calidad -->  CALIDAD
525/12343: morir -->  MORIR
526/12343: así -->  ASÍ
527/12343: mundo -->  MUNDO
528/12343: aleja -->  ALEJAR
529/12343: quién -->  QUIÉN
530/12343: lado -->  LADO
531/12343: rato -->  RATO
532/12343: llorando -->  LLORAR
533/12343: veo -->  VER
534/12343: negativo -->  NEGATIVO
535/12343: evitar -->  EVITAR
536/12343: salida -->  SALIDA
537/12343: pozo -->  POZO
538/12343: lleno -->  LLENO
539/12343: agua -->  AGUA
540/12343: ahogándome -->  -
541/12343: debilitando -->  DEBILITAR
542/12343: cada -->  CADA
543/12343: disfrutar -->  DISFRUTAR
544/12343: edad -->  EDAD
545/12343: salir -->  SALIR
546/12343: fiesta -->  FIESTA
547/12343: navidad -->  NAVIDAD
548/12343: trabajar -->  TRABAJAR
549/12343: nota -->  NOTA
550/12343: importante -->  IMPORTANTE
551/12343: abandoné -->  ABANDONAR
552/12343: tratamiento -->  TRATAMIENTO
553/12343: seguridad -->  SEGURIDAD
554/12343: social -->  SOCIAL
555/12343: ciática -->  CIÁTICA
556/12343: aguda -->  AGUDO
557/12343: incompatible -->  INCOMPATIBLE
558/12343: indicaba -->  INDICAR
559/12343: llevo -->  LLEVAR
560/12343: durmirox -->  -
561/12343: agresivo -->  AGRESIVO
562/12343: salto -->  SALTO
563/12343: mínima -->  MÍNIMO
564/12343: oposición -->  OPOSICIÓN
565/12343: reciba -->  RECIBIR
566/12343: excesivamente -->  EXCESIVAMENTE
567/12343: nervioso -->  NERVIOSO
568/12343: domingo -->  DOMINGO
569/12343: reconozco -->  RECONOCER
570/12343: discusión -->  DISCUSIÓN
571/12343: odio -->  ODIO
572/12343: especialmente -->  ESPECIALMENTE
573/12343: apetece -->  APETECER
574/12343: meterle -->  METER
575/12343: mano -->  MANO
576/12343: gloria -->  GLORIA
577/12343: jueves -->  JUEVES
578/12343: positivo -->  POSITIVO
579/12343: lograr -->  LOGRAR
580/12343: aprovecharlo -->  APROVECHAR
581/12343: máximo -->  MÁXIMO
582/12343: fin -->  FIN
583/12343: bajada -->  BAJADA
584/12343: peso -->  PESO
585/12343: influyendo -->  INFLUIR
586/12343: carácter -->  CARÁCTER
587/12343: cierto -->  CIERTO
588/12343: estresado -->  ESTRESAR
589/12343: optimismo -->  OPTIMISMO
590/12343: llego -->  LLEGAR
591/12343: pleno -->  PLENO
592/12343: semana -->  SEMANA
593/12343: anterior -->  ANTERIOR
594/12343: inferior -->  INFERIOR
595/12343: culpa -->  CULPA
596/12343: gentuza -->  -
597/12343: hacía -->  HACER
598/12343: sentía -->  SENTIR
599/12343: costando -->  COSTAR
600/12343: recuperarme -->  RECUPERAR
601/12343: hace -->  HACER
602/12343: horas -->  HORA
603/12343: habla -->  HABLA
604/12343: olvidar -->  OLVIDAR
605/12343: levantado -->  LEVANTAR
606/12343: cabeza -->  CABEZA
607/12343: costado -->  COSTADO
608/12343: cama -->  CAMA
609/12343: mañana -->  MAÑANA
610/12343: somnoliento -->  -
611/12343: lorazepam -->  -
612/12343: miligramo -->  MILIGRAMO
613/12343: suele -->  SOLER
614/12343: común -->  COMÚN
615/12343: leticia -->  -
616/12343: cuñado -->  CUÑADO
617/12343: jordi -->  -
618/12343: tres -->  TRES
619/12343: mataelpino -->  -
620/12343: disfrutado -->  DISFRUTAR
621/12343: despertarme -->  DESPERTAR
622/12343: sufrido -->  SUFRIDO
623/12343: normalmente -->  NORMALMENTE
624/12343: suelo -->  SUELO
625/12343: levantándome -->  -
626/12343: cierta -->  CIERTO
627/12343: frecuencia -->  FRECUENCIA
628/12343: dado -->  DADO
629/12343: paliza -->  PALIZA
630/12343: arrastrado -->  ARRASTRADO
631/12343: hora -->  HORA
632/12343: paracetamol -->  -
633/12343: paseo -->  PASEO
634/12343: desayuno -->  DESAYUNO
635/12343: paseado -->  PASEAR
636/12343: noticia -->  NOTICIA
637/12343: vistos -->  VISTO
638/12343: anteriores -->  ANTERIOR
639/12343: usado -->  USADO
640/12343: programa -->  PROGRAMA
641/12343: salido -->  SALIDO
642/12343: amiga -->  AMIGO
643/12343: sábado -->  SÁBADO
644/12343: ayer -->  AYER
645/12343: comida -->  COMIDA
646/12343: acosté -->  ACOSTAR
647/12343: aburrimiento -->  ABURRIMIENTO
648/12343: dominante -->  DOMINANTE
649/12343: fines -->  FIN
650/12343: determinadas -->  DETERMINADO
651/12343: curioso -->  CURIOSO
652/12343: am -->  -
653/12343: embargo -->  EMBARGO
654/12343: dormido -->  DORMIDO
655/12343: amigo -->  AMIGO
656/12343: tocapelotas -->  -
657/12343: poca -->  POCO
658/12343: clase -->  CLASE
659/12343: inglés -->  INGLÉS
660/12343: ido -->  IDO
661/12343: sobrino -->  SOBRINO
662/12343: rodrigo -->  -
663/12343: pesado -->  PESADO
664/12343: confianza -->  CONFIANZA
665/12343: dejar -->  DEJAR
666/12343: fumar -->  FUMAR
667/12343: apesadumbra -->  APESADUMBRAR
668/12343: empezado -->  EMPEZAR
669/12343: método -->  MÉTODO
670/12343: consiste -->  CONSISTIR
671/12343: dar -->  DAR
672/12343: caladas -->  CALADA
673/12343: canuto -->  -
674/12343: bolígrafo -->  BOLÍGRAFO
675/12343: acoplado -->  ACOPLADO
676/12343: filtro -->  FILTRO
677/12343: cigarrillo -->  CIGARRILLO
678/12343: uso -->  USO
679/12343: fumo -->  FUMAR
680/12343: funciona -->  FUNCIONAR
681/12343: sentir -->  SENTIR
682/12343: despertado -->  DESPERTAR
683/12343: cuatro -->  CUATRO
684/12343: comido -->  COMIDO
685/12343: pasear -->  PASEAR
686/12343: baño -->  BAÑO
687/12343: coger -->  COGER
688/12343: setas -->  SETA
689/12343: sobrinos -->  SOBRINO
690/12343: pude -->  PODER
691/12343: levantar -->  LEVANTAR
692/12343: madrid -->  -
693/12343: ponerme -->  PONER
694/12343: inyección -->  INYECCIÓN
695/12343: primer -->  PRIMER
696/12343: pontones -->  PONTÓN
697/12343: después -->  DESPUÉS
698/12343: pensamientos -->  PENSAMIENTO
699/12343: negativos -->  NEGATIVO
700/12343: fumarme -->  FUMAR
701/12343: cigarro -->  CIGARRO
702/12343: usar -->  USAR
703/12343: boli -->  BOLI
704/12343: fumado -->  FUMADO
705/12343: total -->  TOTAL
706/12343: libertad -->  LIBERTAD
707/12343: aburro -->  ABURRIR
708/12343: dolido -->  DOLIDO
709/12343: parte -->  PARTE
710/12343: diente -->  DIENTE
711/12343: roto -->  ROTO
712/12343: da -->  DAR
713/12343: miedo -->  MIEDO
714/12343: apático -->  APÁTICO
715/12343: venido -->  VENIR
716/12343: verme -->  VER
717/12343: marina -->  MARINA
718/12343: animado -->  ANIMADO
719/12343: visto -->  VISTO
720/12343: sergio -->  -
721/12343: zyprexa -->  -
722/12343: hablado -->  HABLADO
723/12343: trastorno -->  TRASTORNO
724/12343: esquizoafectivo -->  -
725/12343: minutos -->  MINUTO
726/12343: pasaba -->  PASAR
727/12343: adormilado -->  ADORMILAR
728/12343: deprimido -->  DEPRIMIDO
729/12343: mala -->  MALO
730/12343: varias -->  VARIAS
731/12343: conciencia -->  CONCIENCIA
732/12343: alrededor -->  ALREDEDOR
733/12343: último -->  ÚLTIMO
734/12343: vuelvo -->  VOLVER
735/12343: volvería -->  VOLVER
736/12343: profundamente -->  PROFUNDAMENTE
737/12343: percepción -->  PERCEPCIÓN
738/12343: ambiente -->  AMBIENTE
739/12343: descansado -->  DESCANSADO
740/12343: despejado -->  DESPEJADO
741/12343: abotargado -->  -
742/12343: pocas -->  POCO
743/12343: gimnasia -->  GIMNASIA
744/12343: paseaba -->  PASEAR
745/12343: sentado -->  SENTADO
746/12343: ánimo -->  ÁNIMO
747/12343: cumpleaños -->  CUMPLEAÑOS
748/12343: sobrina -->  SOBRINO
749/12343: belice -->  -
750/12343: celebrado -->  CELEBRAR
751/12343: divertido -->  DIVERTIDO
752/12343: preocupa -->  PREOCUPAR
753/12343: apatía -->  APATÍA
754/12343: abandonado -->  ABANDONADO
755/12343: probando -->  PROBAR
756/12343: cigarrillos -->  CIGARRILLO
757/12343: tabaco -->  TABACO
758/12343: fumando -->  FUMAR
759/12343: cauto -->  CAUTO
760/12343: humor -->  HUMOR
761/12343: rellenado -->  RELLENAR
762/12343: cuestionario -->  CUESTIONARIO
763/12343: viaje -->  VIAJE
764/12343: sobradillo -->  SOBRADILLO
765/12343: salamanca -->  -
766/12343: incluso -->  INCLUSO
767/12343: portugal -->  -
768/12343: coche -->  COCHE
769/12343: tenso -->  TENSO
770/12343: pueblo -->  PUEBLO
771/12343: precioso -->  PRECIOSO
772/12343: alrededores -->  ALREDEDORES
773/12343: bonitos -->  BONITO
774/12343: genial -->  GENIAL
775/12343: elevado -->  ELEVADO
776/12343: años -->  AÑO
777/12343: salía -->  SALIR
778/12343: manzanares -->  MANZANAR
779/12343: real -->  REAL
780/12343: tocaba -->  TOCAR
781/12343: bajar -->  BAJAR
782/12343: iba -->  IR
783/12343: llegado -->  LLEGAR
784/12343: autobús -->  AUTOBÚS
785/12343: calada -->  CALADA
786/12343: llegar -->  LLEGAR
787/12343: fatal -->  FATAL
788/12343: puto -->  PUTO
789/12343: anoche -->  ANOCHE
790/12343: tomé -->  TOMAR
